row,pl_name,st_name,st_num,pl_num,dis_met,dis_year,dis_loc,dic_fac,pl_orbper,pl_orb,pl_rade,pl_radj,pl_masse,pl_massj,pl_temp,st_spectype,st_temp,st_rad,st_mass,glat,glon,sy_dist,habit
4232,WASP-7 b,WASP-7,1,1,Transit,2008,Ground,SuperWASP,4.9546416,0.0617,14.908,1.33,305.1168,0.96,1487,,6400,1.43,1.28,-37.87702,2.822288,162.303,0
4233,WASP-70 A b,WASP-70 A,2,1,Transit,2014,Ground,SuperWASP,3.7130203,0.04853,13.047,1.164,187.512,0.59,1387,G4,5763,1.22,1.11,-34.92717,35.19032,222.355,0
4234,WASP-71 b,WASP-71,1,1,Transit,2012,Ground,SuperWASP,2.90367,0.04622,13.227,1.18,441.7837,1.39,2049,F8,6050,1.82,0.76,-57.95666,155.0883,362.715,0
4235,WASP-72 b,WASP-72,1,1,Transit,2012,Ground,SuperWASP,2.21673,0.03711,14.46,1.29,731.009,2.3,2210,F7,6250,2.18,2.78,-65.14657,226.6647,434.754,0
4236,WASP-73 b,WASP-73,1,1,Transit,2014,Ground,SuperWASP,4.08722,0.05512,15.917,1.42,908.9938,2.86,1790,F9,6030,2.55,2.52,-42.11033,337.5031,316.678,0
4237,WASP-74 b,WASP-74,1,1,Transit,2015,Ground,SuperWASP,2.13775,0.03443,15.244,1.36,228.8376,0.72,1926,F9,5990,1.42,0.98,-19.71093,42.20558,149.216,0
4238,WASP-75 b,WASP-75,2,1,Transit,2013,Ground,SuperWASP,2.484193,0.0375,14.235,1.27,340.06,1.07,1710,F9,6100,1.26,1.14,-56.95472,56.878,294.001,0
4239,WASP-76 b,WASP-76,2,1,Transit,2016,Ground,SuperWASP,1.809886,0.033,20.512,1.83,292.4036,0.92,2160,F7,6250,1.73,1.46,-57.34689,149.0847,194.459,0
4240,WASP-77 A b,WASP-77 A,2,1,Transit,2012,Ground,SuperWASP,1.36003,0.02405,15.468,1.38,727.8307,2.29,1674,G8 V,5365,1.09,1.49,-59.43627,176.3499,105.166,0
4241,WASP-78 b,WASP-78,1,1,Transit,2012,Ground,SuperWASP,2.17518,0.03488,21.633,1.93,352.7913,1.11,2470,,6100,2.46,1.87,-43.7651,218.3854,754.258,0
4242,WASP-79 b,WASP-79,1,1,Transit,2012,Ground,SuperWASP,3.66238,0.0519,18.719,1.67,270.1555,0.85,1716,,6600,1.6,1.43,-43.44492,230.5419,246.69,0
4243,WASP-8 b,WASP-8,2,2,Transit,2010,Ground,SuperWASP,8.15872,0.0801,12.666,1.13,807.2882,2.54,950,G8 V,5600,1.03,1.34,-76.39504,354.2523,89.9606,0
4244,WASP-8 c,WASP-8,2,2,Radial Velocity,2013,Ground,SuperWASP,4323,5.28,12.5,1.12,3003.37,9.45,,,,,1.04,-76.39504,354.2523,89.9606,0
4245,WASP-80 b,WASP-80,1,1,Transit,2012,Ground,SuperWASP,3.06785234,0.0344,11.198,0.999,170.99254,0.538,825,K7 V,4143,0.59,0.58,-19.00968,40.51986,49.7876,0
4246,WASP-81 b,WASP-81,1,1,Transit,2017,Ground,Multiple Facilities,2.7164762,0.03908,16.018,1.429,231.69807,0.729,1623,,5870,1.28,1.08,-17.29272,46.05986,398.505,0
4247,WASP-82 b,WASP-82,1,1,Transit,2015,Ground,SuperWASP,2.70579,0.0447,18.159,1.62,371.8611,1.17,2190,F5,6480,2.1,1.48,-25.61688,196.2628,275.664,0
4248,WASP-83 b,WASP-83,1,1,Transit,2015,Ground,SuperWASP,4.971252,0.059,11.657,1.04,95.349,0.3,1120,G8,5510,1.05,1.11,43.51332,299.4072,271.103,0
4249,WASP-84 b,WASP-84,1,1,Transit,2014,Ground,SuperWASP,8.5234865,0.0771,10.559,0.942,220.565,0.694,797,K0,5314,0.75,0.84,25.83587,224.911,100.588,0
4250,WASP-85 A b,WASP-85 A,2,1,Transit,2016,Space,K2,2.6556777,0.039,13.899,1.24,402.05495,1.265,1452,G5 V,6112,0.94,1.09,63.87873,261.7939,141.887,0
4251,WASP-87 b,WASP-87,2,1,Transit,2016,Ground,Anglo-Australian Telescope,1.682795,0.02946,15.524,1.385,692.8694,2.18,,,6450,1.63,1.2,9.760943,298.3222,298.392,0
