name,orbit,orbit_period,star_brightness,star_temp,temp,radius_e,mass_e,density,discovered
Kepler-1269 b,,37.3331536,13.611,5998,,1.63,,,2016
Kepler-1467 b,,47.0569043,15.549,5332,,3.3,,,2016
Kepler-404 c,0.118,14.751166,15.228,5654,,1.72,,,2014
Kepler-404 b,0.102,11.829851,15.228,5654,,1.27,,,2014
Kepler-62 f,0.718,267.291,13.725,4925,208,1.41,35,,2013
Kepler-62 d,0.12,18.16406,13.725,4925,510,1.95,14,,2013
Kepler-62 c,0.0929,12.4417,13.725,4925,578,0.54,4,,2013
Kepler-62 b,0.0553,5.714932,13.725,4925,750,1.31,9,,2013
Kepler-62 e,0.427,122.3874,13.725,4925,270,1.61,36,,2013
Kepler-1496 b,,64.6588017,14.694,6182,,2.22,,,2016
Kepler-1700 b,,234.239,13.685,5885,,2.901,,,2020
Kepler-295 b,0.099,12.645164,14.447,5603,,1.22,,,2014
Kepler-295 d,0.192,33.884054,14.447,5603,,1.36,,,2014
Kepler-295 c,0.142,21.526258,14.447,5603,,1.17,,,2014
Kepler-909 b,,13.93290318,11.538,6154,,1.47,,,2016
Kepler-832 b,,7.1396941,15.906,5596,,2.06,,,2016
Kepler-1130 b,,5.45298175,12.404,5403,,0.8,,,2016
Kepler-1280 b,,66.5579057,14.074,6227,,1.87,,,2016
Kepler-368 c,0.36,72.379334,12.848,5502,,3.88,,,2014
Kepler-368 b,0.186,26.84768,12.848,5502,,3.26,,,2014
Kepler-1610 b,,8.70181574,15.85,5383,,1.61,,,2016
Kepler-1018 b,,49.1013514,15.041,5518,,2.58,,,2016
Kepler-729 b,,3.16635371,15.603,5633,,3.58,,,2016
Kepler-1408 b,,2.99793191,12.003,6170,,0.89,,,2016
Kepler-335 c,0.356,67.844469,13.996,5877,,3.07,,,2014
Kepler-335 b,0.075,6.562331,13.996,5877,,3.39,,,2014
Kepler-1162 b,,32.5637069,15.48,5390,,2.21,,,2016
Kepler-1322 b,,0.96286738,15.81,5488,,1.61,,,2016
Kepler-548 b,,4.45419434,14.995,5535,,11.99,,,2016
Kepler-1486 b,,54.6495759,15.335,5965,,2.32,,,2016
Kepler-1161 b,,10.71252541,15.813,4253,,2.13,,,2016
Kepler-1400 b,,9.06689421,15.737,5044,,1.62,,,2016
HAT-P-40 b,,4.45724,11.699,6080,,17.038,152.5584,,2012
Kepler-611 b,,2.4370333,14.573,5761,,1.65,,,2016
Kepler-523 b,,5.83598311,12.465,5515,,1.96,,,2016
DE CVn b,5.75,4098.1,,,,,3823.2733,,2018
Kepler-586 b,,2.10472218,14.427,5575,,2.79,,,2016
Kepler-1635 b,,469.63111,15.696,5347,,3.64,,,2016
Kepler-731 b,,3.85560355,15.272,5849,,13.88,,,2016
Kepler-730 c,0.03997,2.85188338,15.649,5620,1607,1.569,,,2018
Kepler-730 b,0.0694,6.49168281,15.649,5620,1219,12.33,,,2016
Kepler-1295 b,,3.81371974,15.89,5486,,1.55,,,2016
Kepler-192 b,0.09,9.926746,14.129,5479,,2.74,,,2014
Kepler-192 c,0.15,21.2234,14.129,5479,,2.79,,,2014
Kepler-192 d,,6.47027579,14.129,5479,,1.02,,,2016
Kepler-1571 b,,3.38555488,13.767,6297,,1.52,,,2016
Kepler-833 b,,18.7546998,15.473,4339,,2.02,,,2016
HD 81688 b,0.81,184.02,5.393,4753,,,858.1,,2007
Kepler-1360 b,,40.5286413,13.913,6778,,3.4,,,2016
Kepler-1257 b,,2.66831376,15.553,5502,,1.52,,,2016
Kepler-1497 b,,8.74199772,15.364,5675,,1.66,,,2016
Kepler-1612 b,,3.91795101,14.75,5643,,1.03,,,2016
Kepler-387 b,0.068,6.791636,13.987,5774,,1.03,,,2014
Kepler-387 c,0.098,11.837549,13.987,5774,,0.89,,,2014
Kepler-1173 b,,0.7698536,13.829,5252,,0.89,,,2016
Kepler-1101 b,,81.3151059,15.111,5614,,2.47,,,2016
Kepler-1126 b,,108.593329,14.033,5798,,1.73,,,2016
Kepler-836 b,,11.36112327,14.63,5895,,2.73,,,2016
Kepler-1221 b,,12.00096042,15.563,5194,,1.88,,,2016
Kepler-1536 b,,364.758031,15.188,4434,,3.14,,,2016
Kepler-1555 b,,8.10501635,15.353,5866,,1.61,,,2016
Kepler-1148 b,,1.10446351,15.277,5054,,1.69,,,2016
Kepler-835 b,,11.41909375,15.965,5954,,2.79,,,2016
Kepler-915 b,,4.59489604,13.298,6173,,1.5,,,2016
Kepler-1491 b,,16.5861762,15.589,5728,,1.51,,,2016
Kepler-612 b,,3.72215641,14.911,5693,,2.84,,,2016
Kepler-1575 b,,2.55314213,15.424,5667,,1.31,,,2016
Kepler-44 b,0.0446,3.2467293,14.678,5800,1544,12.22,317.82,0.93,2011
Kepler-1079 b,,13.24503188,12.584,5758,,1.63,,,2016
Kepler-1178 b,,31.80634,13.831,4990,,1.07,,,2016
Kepler-1007 b,,5.18500207,14.744,4587,,1.44,,,2016
Kepler-1111 b,,8.79617863,15.159,6077,,2,,,2016
Kepler-254 c,0.105,12.412183,15.843,5957,,2.15,,,2014
Kepler-254 b,0.064,5.826662,15.843,5957,,3.87,,,2014
Kepler-254 d,0.139,18.746477,15.843,5957,,2.5,,,2014
Kepler-1030 b,,19.32952416,15.719,4983,,2.48,,,2016
Kepler-1523 b,,0.93875077,14.86,5708,,1.58,,,2016
Kepler-1570 b,,26.548955,13.961,5550,,1.07,,,2016
Kepler-1114 b,,14.97435694,13.747,5374,,1.35,,,2016
Kepler-1086 c,,161.5163345,15.561,4350,,2.94,,,2016
Kepler-1086 b,,18.78425728,15.561,4350,,2.44,,,2016
Kepler-31 b,0.16,20.8613,15.237,6340,,5.5,,,2011
Kepler-31 c,0.26,42.6318,15.237,6340,,5.3,1493.7,,2011
Kepler-31 d,0.4,87.6451,15.237,6340,,3.9,2161.244,,2014
Kepler-1153 b,,1.75583533,15.758,5470,,1.73,,,2016
Kepler-1474 b,,36.4333452,15.246,5870,,2.16,,,2016
Kepler-382 c,0.097,12.162701,14.623,5600,,1.59,,,2014
Kepler-382 b,0.055,5.262155,14.623,5600,,1.32,,,2014
Kepler-1058 b,,110.96546,15.498,4644,,2.72,,,2016
Kepler-733 b,,20.83424726,15.412,5418,,2.82,,,2016
Kepler-1216 b,,4.37034536,15.133,5743,,1.39,,,2016
Kepler-1618 b,,6.10826019,13.606,6620,,1.26,,,2016
Kepler-837 b,,16.56059504,15.198,5403,,2.56,,,2016
Kepler-732 c,,0.89304124,15.073,3631,,1.27,,,2016
Kepler-732 b,,9.46781405,15.073,3631,,2.18,,,2016
Kepler-1096 b,,2.89221751,15.068,4306,,1.24,,,2016
Kepler-345 b,0.066,7.415563,14.028,4504,,0.74,,,2014
Kepler-345 c,0.077,9.387427,14.028,4504,,1.2,,,2014
Kepler-504 b,,9.54927542,14.486,3519,,1.59,,,2016
Kepler-916 b,,32.2968798,15.2,5248,,1.76,,,2016
Kepler-838 b,,15.74957994,15.3,5770,,2.73,,,2016
Kepler-255 c,0.092,9.946047,15.596,5573,,2.99,,,2014
Kepler-255 b,0.063,5.714606,15.596,5573,,1.55,,,2014
Kepler-255 d,,1.04562266,15.596,5573,,1.32,,,2016
Kepler-1250 b,,2.60754383,15.618,5717,,1.92,,,2016
Kepler-41 b,0.03101,1.8555582,14.465,5750,1790,14.46,177.98,0.33,2011
Kepler-1016 b,,1.95452434,15.356,5821,,2.18,,,2016
Kepler-1016 c,,105.6551369,15.356,5821,,3.68,,,2016
Kepler-1108 b,,4.51005748,14.979,5406,,1.46,,,2016
Kepler-326 d,0.066,6.766888,13.693,5105,,1.21,,,2014
Kepler-326 b,0.032,2.248329,13.693,5105,,1.52,,,2014
Kepler-326 c,0.051,4.580358,13.693,5105,,1.4,,,2014
Kepler-33 b,0.0677,5.66793,13.988,5904,,1.74,,,2011
Kepler-33 d,0.1662,21.77596,13.988,5904,,5.35,,,2011
Kepler-33 f,0.2535,41.02902,13.988,5904,,4.46,,,2011
Kepler-33 e,0.2138,31.7844,13.988,5904,,4.02,,,2011
Kepler-33 c,0.1189,13.17562,13.988,5904,,3.2,,,2011
Kepler-1087 b,,0.69384285,12.953,5589,,0.61,,,2016
Kepler-1459 b,,62.8691611,14.591,4828,,1.36,,,2016
Kepler-1345 b,,44.6169557,13.791,6449,,2.36,,,2016
Kepler-257 d,0.16,24.664551,15.471,5180,,4.95,,,2014
Kepler-257 b,0.034,2.382667,15.471,5180,,2.61,,,2014
Kepler-257 c,0.066,6.581484,15.471,5180,,5.41,,,2014
Kepler-734 b,,6.10485286,15.017,5326,,3.56,,,2016
Kepler-127 c,0.2,29.393195,11.485,6106,,2.66,,,2014
Kepler-127 d,0.28,48.630408,11.485,6106,,2.64,,,2014
Kepler-127 b,0.125,14.435889,11.485,6106,,1.4,,,2014
Kepler-39 b,0.164,21.08721,14.46,6350,897,13.9,6388.1,13,2011
Kepler-1399 b,,1.63865306,15.49,5735,,1.25,,,2016
Kepler-352 b,0.085,10.05537,12.957,5212,,0.86,,,2014
Kepler-352 c,0.118,16.332995,12.957,5212,,1.24,,,2014
Kepler-1315 b,,0.84338011,14.975,4861,,1.38,,,2016
Kepler-1156 b,,11.89520511,14.152,5778,,1.32,,,2016
Kepler-294 b,0.048,3.701212,15.843,5913,,1.77,,,2014
Kepler-294 c,0.071,6.6264,15.843,5913,,2.71,,,2014
Kepler-1527 b,,160.129918,15.13,6224,,4.77,,,2016
Kepler-108 b,0.292,49.183921,12.654,5854,,8.65,,,2014
Kepler-108 c,0.721,190.323494,12.654,5854,,8.18,,,2014
Kepler-465 b,,9.94067247,12.663,6310,,2.95,,,2016
2MASS J19383260+4603591 b,0.92,416,12.264,,,,603.877,,2015
Kepler-958 b,,9.7678805,13.766,5421,,2.06,,,2016
Kepler-1548 b,,124.828679,15.259,5706,,2.64,,,2016
Kepler-1668 b,,15.434,15.703,5328.33,,4.348,,,2020
Kepler-256 b,0.027,1.620493,15.065,5551,,1.59,,,2014
Kepler-256 e,0.096,10.681572,15.065,5551,,2.35,,,2014
Kepler-256 c,0.045,3.38802,15.065,5551,,2.15,,,2014
Kepler-256 d,0.064,5.839172,15.065,5551,,2.48,,,2014
Kepler-1323 b,,0.92990668,12.41,6169,,1.52,,,2016
Kepler-346 c,0.168,23.851549,15.214,6033,,3.07,,,2014
Kepler-346 b,0.071,6.511127,15.214,6033,,2.66,,,2014
Kepler-216 c,0.136,17.406669,13.998,6091,,3.04,,,2014
Kepler-216 b,0.079,7.693641,13.998,6091,,2.35,,,2014
Kepler-987 b,,105.3033148,14.986,5637,,3.26,,,2016
Kepler-1085 c,,56.7771,15.273,6000,,3.268,,,2020
Kepler-1085 b,,219.3217528,15.273,6000,,7.22,,,2016
Kepler-461 b,,8.31378306,13.704,5634,,2.58,,,2016
Kepler-67 b,0.1171,15.7259,16.4,5331,,2.94,,,2013
Kepler-735 b,,11.51516988,15.386,5107,,2.95,,,2016
Kepler-320 c,0.142,17.934937,13.474,6435,,1.37,,,2014
Kepler-320 b,0.085,8.371554,13.474,6435,,1.14,,,2014
Kepler-736 b,,3.60147201,15.733,5217,,2.93,,,2016
Kepler-478 b,,13.2217576,13.938,5210,,2.71,,,2016
Kepler-999 b,,5.99185702,12.239,6237,,2.34,,,2016
Kepler-651 b,,21.38521506,13.94,5522,,2.37,,,2016
Kepler-861 b,,3.94963138,15.623,5047,,2.28,,,2016
Kepler-962 b,,12.05707239,13.576,5478,,1.97,,,2016
Kepler-613 b,,15.77979614,14.608,5723,,2.29,,,2016
Kepler-484 b,,10.04556931,13.024,5668,,2.28,,,2016
Kepler-1074 b,,5.94566534,15.026,4002,,1.25,,,2016
Kepler-860 b,,5.10137945,15.455,5836,,3.24,,,2016
Kepler-1666 b,,25.8476,15.083,5818.75,,2.883,,,2020
Kepler-1666 c,,40.7157,15.083,5818.75,,3.236,,,2020
Kepler-218 c,0.248,44.699576,13.967,5502,,3.14,,,2014
Kepler-218 d,,124.5244647,13.967,5502,,2.66,,,2016
Kepler-218 b,0.046,3.619337,13.967,5502,,1.48,,,2014
Kepler-562 b,,18.00931444,14.794,5575,,5.21,,,2016
Kepler-614 b,,14.03491514,14.574,5268,,2.39,,,2016
Kepler-105 c,,7.1262,12.791,5827,,1.31,4.6,11.2,2014
Kepler-105 b,0.066,5.4122,12.791,5827,1418,4.81,,,2013
Kepler-217 d,,3.88689525,13.294,6171,,1.32,,,2016
Kepler-217 b,0.065,5.374943,13.294,6171,,2.23,,,2014
Kepler-217 c,0.089,8.586004,13.294,6171,,1.85,,,2014
KOI-217 b,0.0477,3.90512,15.127,5545,,12.442,,,2010
Kepler-563 b,,22.18432708,14.767,5066,,3.09,,,2016
Kepler-1684 b,,47.7055,16.22,4787,,2.871,,,2020
Kepler-856 b,,8.02768059,15.57,5535,,9.3,,,2016
Kepler-864 b,,5.83376092,15.776,5754,,2.4,,,2016
Kepler-615 b,,10.35584657,14.337,4655,,1.74,,,2016
Kepler-422 b,0.082,7.8914483,13.435,5972,,12.89,136.66,0.38,2014
Kepler-344 c,0.488,125.596809,15.378,5774,,2.95,,,2014
Kepler-344 b,0.153,21.963945,15.378,5774,,2.61,,,2014
Kepler-458 c,,20.74028413,13.955,6065,,4.2,,,2016
KIC 9663113 b,,572.3847,13.955,6065,,4.6,,,2015
Kepler-1072 b,,1.5690665,13.93,6199,,1.58,,,2016
Kepler-1122 b,,42.1917357,15.06,5544,,2.04,,,2016
Kepler-1305 b,,13.5630972,15.785,5701,,1.88,,,2016
Kepler-1681 b,,69.8956,14.552,5173.08,,2.553,,,2020
Kepler-1020 b,,96.9151496,14.031,5227,,2.28,,,2016
Kepler-453 b,0.7903,240.503,13.552,5527,,6.204,16,,2015
Kepler-423 b,0.03585,2.6843285,14.29,5560,1605,13.361,189.101,0.459,2014
Kepler-1068 b,,16.92344113,15.818,5806,,3.63,,,2016
Kepler-984 b,,43.0342272,13.534,5610,,2.12,,,2016
Kepler-1392 b,,15.1410397,15.679,5479,,1.96,,,2016
Kepler-979 b,,8.0880135,14.624,5310,,2.72,,,2016
Kepler-1695 b,,4.7329,14.651,5437,,1.119,,,2020
Kepler-1617 b,,27.4785572,13.63,6167,,1.2,,,2016
Kepler-737 b,,28.59915399,15.19,3813,,1.96,,,2016
Kepler-378 c,0.166,28.906009,12.485,4661,,0.7,,,2014
Kepler-378 b,0.112,16.092361,12.485,4661,,0.75,,,2014
Kepler-1636 b,,425.47785,15.807,5797,,3.23,,,2016
Kepler-1274 b,,6.98152703,11.752,6179,,1.42,,,2016
Kepler-949 b,,8.6893073,14.548,5403,,2.91,,,2016
Kepler-1012 b,,5.50860439,13.317,5556,,1.29,,,2016
Kepler-652 b,,4.18200253,13.393,5490,,2.49,,,2016
Kepler-1385 b,,2.88879862,12.858,5732,,0.85,,,2016
Kepler-1169 b,,6.11009134,12.716,6191,,0.94,,,2016
Kepler-862 b,,3.14866453,15.297,5333,,2.21,,,2016
Kepler-445 b,,2.984151,17.475,3157,,1.58,,,2015
Kepler-445 c,,4.871229,17.475,3157,,2.51,,,2015
Kepler-445 d,,8.15275,17.475,3157,,1.25,,,2015
Kepler-1413 b,,13.1829642,16.239,5196,,1.82,,,2016
Kepler-1066 b,,1.93155984,13.007,5762,,2.36,,,2016
Kepler-1244 b,,3.70428172,12.402,6680,,1.35,,,2016
Kepler-877 b,,18.45847097,14.516,5261,,2.12,,,2016
Kepler-1507 b,,16.0506213,13.136,5410,,0.84,,,2016
Kepler-26 b,,12.28,15.473,3914,,2.78,5.12,1.26,2011
Kepler-26 c,,17.2559,15.473,3914,,2.72,6.2,1.61,2011
Kepler-26 d,0.039,3.543919,15.473,3914,,1.07,,,2014
Kepler-26 e,0.22,46.827915,15.473,3914,,2.41,,,2014
Kepler-738 b,,24.58721573,15.598,5327,,2.5,,,2016
Kepler-1528 b,,1.79111021,14.496,5857,,1.46,,,2016
Kepler-32 e,0.033,2.896,16.452,3900,,1.5,,,2012
Kepler-32 f,0.013,0.74296,16.452,3900,,0.82,,,2012
Kepler-32 d,0.13,22.7802,16.452,3900,,2.7,,,2012
Kepler-32 c,0.09,8.7522,16.452,3900,,2,158.9,,2011
Kepler-32 b,0.05,5.90124,16.452,3900,,2.2,1303,,2011
Kepler-193 b,0.106,11.38848,14.615,6335,,2.39,,,2014
Kepler-193 c,0.286,50.697494,14.615,6335,,2.75,,,2014
Kepler-739 b,,12.53248465,15.485,5601,,3.32,,,2016
Kepler-258 c,0.193,33.653079,15.223,4942,,3.61,,,2014
Kepler-258 b,0.103,13.19722,15.223,4942,,4.06,,,2014
Kepler-982 b,,15.7738221,13.205,6139,,2.25,,,2016
Kepler-1052 b,,34.8538276,14.876,5888,,2.93,,,2016
Kepler-878 b,,25.9422033,14.817,5044,,1.93,,,2016
Kepler-259 b,0.079,8.115317,15.219,5938,,2.8,,,2014
Kepler-259 c,0.217,36.924931,15.219,5938,,2.7,,,2014
Kepler-741 b,,7.03902374,15.067,6129,,2.97,,,2016
Kepler-1247 b,,13.71220213,15.935,5303,,2.33,,,2016
Kepler-935 b,,4.88083852,14.925,4830,,1.35,,,2016
Kepler-564 b,,3.75083228,14.749,5626,,4.63,,,2016
Kepler-59 b,,11.8681707,14.307,6074,,1.1,651.52,,2012
Kepler-59 c,,17.9801235,14.307,6074,,1.98,435.41,,2012
Kepler-1321 b,,11.12830484,16.835,4094,,4.92,,,2016
Kepler-1321 c,,2.22649109,16.835,4094,,2.4,,,2016
Kepler-1564 b,,18.0540381,15.004,5528,,1.47,,,2016
Kepler-1377 b,,0.74092842,15.918,5218,,1.25,,,2016
Kepler-1391 b,,54.4092333,13.852,5840,,1.68,,,2016
Kepler-1233 b,,45.1263042,14.689,6198,,2.6,,,2016
Kepler-1044 b,,6.77408868,15.368,5985,,2.67,,,2016
Kepler-43 b,0.046,3.0240949,13.958,6041,1620,13.664,1026.5909,5,2011
Kepler-881 b,,4.44448017,15.216,5961,,1.78,,,2016
Kepler-868 b,,5.03251791,15.695,5614,,2.05,,,2016
Kepler-1350 b,,4.4968604,16.283,3827,,2.52,,,2016
Kepler-1350 c,,1.76678906,16.283,3827,,1.73,,,2016
Kepler-66 b,0.1352,17.815815,15.3,5962,,2.8,,,2013
HAT-P-32 b,0.03397,2.1500082,11.289,6001,1836,22.194,216.1244,0.108,2011
Kepler-35 b,0.60347,131.458,15.726,5606,,8.16,40.363,0.41,2011
Kepler-740 b,,3.58410122,15.954,5438,,4.57,,,2016
Kepler-1252 b,,15.0540329,14.503,5949,,1.67,,,2016
Kepler-1282 b,,2.13194651,15.545,5504,,1.55,,,2016
Kepler-905 b,,5.08274652,13.984,5461,,1.41,,,2016
Kepler-937 b,,67.668827,15.224,6095,,3.72,,,2016
Kepler-937 c,,153.343364,15.224,6095,,2.67,,,2016
Kepler-653 b,,14.70748976,13.387,5665,,1.95,,,2016
Kepler-653 c,,0.90037648,13.387,5665,,0.78,,,2016
Kepler-1572 b,,5.49548621,13.95,5618,,0.94,,,2016
Kepler-1446 b,,0.68996783,12.411,4865,,0.82,,,2016
Kepler-342 e,,1.64422461,13.147,6175,,0.88,,,2016
Kepler-342 b,0.128,15.170318,13.147,6175,,2.25,,,2014
Kepler-342 c,0.185,26.234138,13.147,6175,,1.96,,,2014
Kepler-342 d,0.242,39.459357,13.147,6175,,2.49,,,2014
Kepler-976 b,,105.9564148,15.795,5232,,3.96,,,2016
Kepler-936 b,,10.56134221,14.581,5482,,1.45,,,2016
Kepler-361 b,0.086,8.486616,13.573,6169,,1.45,,,2014
Kepler-361 c,0.3,55.188023,13.573,6169,,2.52,,,2014
Kepler-1307 b,,18.01621096,15.394,5884,,2.47,,,2016
Kepler-1562 b,,64.2737752,15.589,5760,,3.55,,,2016
Kepler-403 b,0.076,7.031462,12.805,6090,,1.25,,,2014
Kepler-403 d,,13.61159129,12.805,6090,,1.42,,,2016
Kepler-403 c,0.297,54.280749,12.805,6090,,1.75,,,2014
Kepler-960 b,,3.12686223,13.884,4755,,2.29,,,2016
Kepler-1263 b,,4.55139967,15.035,5213,,1.14,,,2016
Kepler-219 b,0.057,4.585512,13.764,5786,,2.95,,,2014
Kepler-219 d,0.272,47.903645,13.764,5786,,2.81,,,2014
Kepler-219 c,0.165,22.714613,13.764,5786,,3.58,,,2014
Kepler-1436 b,,9.705716,14.93,5972,,1.31,,,2016
Kepler-140 b,0.045,3.25427,12.996,6077,,1.61,,,2014
Kepler-140 c,0.414,91.353282,12.996,6077,,1.8,,,2014
Kepler-1598 b,,4.34195123,13.874,5940,,0.95,,,2016
Kepler-742 b,,8.36086824,15.223,4642,,3.24,,,2016
Kepler-318 b,0.056,4.662715,13.297,5746,,4.71,,,2014
Kepler-318 c,0.105,11.815007,13.297,5746,,3.68,,,2014
Kepler-1337 b,,24.4002549,15.858,4523,,2.41,,,2016
Kepler-1175 b,,37.94563,15.939,5453,,2.99,,,2016
Kepler-1011 b,,5.75322197,15.196,5416,,2.87,,,2016
Kepler-654 b,,13.72465129,13.645,5865,,2.07,,,2016
Kepler-221 c,0.059,5.690586,13.749,5243,,2.93,,,2014
Kepler-221 b,0.037,2.795906,13.749,5243,,1.71,,,2014
Kepler-221 d,0.087,10.04156,13.749,5243,,2.73,,,2014
Kepler-221 e,0.13,18.369917,13.749,5243,,2.63,,,2014
Kepler-616 b,,9.99761851,14.957,5753,,2.43,,,2016
Kepler-616 c,,90.4113556,14.957,5753,,3.41,,,2016
Kepler-1557 b,,3.74032496,15.331,6099,,1.53,,,2016
Kepler-655 b,,46.4063358,13.489,6170,,2.71,,,2016
Kepler-409 b,,68.9584,9.439,5460,,1.19,22,,2014
Kepler-148 d,,51.84688575,15.342,5272,,8.68,,,2016
Kepler-148 b,0.028,1.729366,15.342,5272,,1.8,,,2014
Kepler-148 c,0.05,4.180043,15.342,5272,,3.6,,,2014
KOI-13 b,0.03641,1.763588,9.958,7650,2550,16.948,2949.4624,3.6,2011
Kepler-898 b,,5.8706191,15.961,4223,,1.49,,,2016
Kepler-990 c,,0.53835431,14.498,5948,,1.53,,,2016
Kepler-990 b,,9.91723428,14.498,5948,,2.6,,,2016
Kepler-220 b,0.046,4.159807,13.177,4632,,0.81,,,2014
Kepler-220 e,0.226,45.902733,13.177,4632,,1.33,,,2014
Kepler-220 d,0.163,28.122397,13.177,4632,,0.98,,,2014
Kepler-220 c,0.076,9.034199,13.177,4632,,1.57,,,2014
Kepler-178 d,0.397,96.678988,14.598,5676,,3.95,,,2014
Kepler-178 c,0.142,20.552802,14.598,5676,,2.88,,,2014
Kepler-178 b,0.085,9.576694,14.598,5676,,2.9,,,2014
Kepler-1056 b,,27.495606,14.55,6127,,3.01,,,2016
Kepler-1336 c,,5.77721211,14.056,5512,,1.71,,,2016
Kepler-1336 b,,23.198681,14.056,5512,,1.98,,,2016
Kepler-1361 b,,3.57554956,13.93,5131,,0.86,,,2016
Kepler-1558 b,,3.50470358,13.632,5101,,0.68,,,2016
Kepler-47 b,0.2877,49.4643,15.178,,,3.05,2.07,0.4,2012
Kepler-47 c,0.9638,303.227,15.178,,,4.65,3.17,0.17,2012
Kepler-47 d,0.6992,187.366,15.178,,,7.04,19.02,0.3,2019
Kepler-1620 b,,101.951829,13.658,6157,,1.61,,,2016
Kepler-1509 b,,25.4338197,15.386,5780,,1.85,,,2016
Kepler-222 c,0.091,10.08881,15.063,5433,,4.64,,,2014
Kepler-222 b,0.048,3.936981,15.063,5433,,3.16,,,2014
Kepler-222 d,0.18,28.081912,15.063,5433,,3.69,,,2014
Kepler-894 b,,9.803224,15.439,5603,,2.78,,,2016
Kepler-1344 b,,4.7683049,14.083,5981,,1.84,,,2016
Kepler-1306 b,,16.29595382,15.243,5727,,1.91,,,2016
Kepler-1140 b,,24.0862707,15.464,4850,,2.77,,,2016
Kepler-902 b,,40.1099547,14.904,5647,,2.54,,,2016
Kepler-490 b,,3.26869515,14.879,6045,,11.65,,,2016
WASP-113 b,0.05885,4.54216875,11.771,5890,1496,15.793,150.96925,0.228,2016
Kepler-309 c,0.401,105.356383,15.157,4713,,2.51,,,2014
Kepler-309 b,0.059,5.923653,15.157,4713,,1.56,,,2014
Kepler-87 b,0.481,114.73635,14.6,5600,478,13.49,324.2,0.729,2013
Kepler-87 c,0.676,191.2318,14.6,5600,403,6.14,6.4,0.152,2013
Kepler-1184 b,,53.5991044,14.953,5983,,2.68,,,2016
Kepler-1228 b,,0.57736958,14.859,5063,,1.54,,,2016
Kepler-1259 b,,0.66308526,15.304,5053,,1.43,,,2016
Kepler-1022 b,,10.99469878,15.389,4445,,2.36,,,2016
Kepler-938 b,,52.6298417,15.004,5533,,2.22,,,2016
KIC 10001893 b,,0.2197,15.846,27500,,,,,2014
KIC 10001893 c,,0.32528,15.846,27500,,,,,2014
KIC 10001893 d,,0.81161,15.846,27500,,,,,2014
HD 141399 e,5,5000,7.2,5600,,,209.7678,,2014
HD 141399 d,2.09,1069.8,7.2,5600,,,375.0394,,2014
HD 141399 b,0.415,94.44,7.2,5600,,,143.34133,,2014
HD 141399 c,0.689,201.99,7.2,5600,,,422.7139,,2014
Kepler-310 d,0.392,92.876125,14.279,5797,,2.47,,,2014
Kepler-310 b,0.111,13.930698,14.279,5797,,1.19,,,2014
Kepler-310 c,0.281,56.47542,14.279,5797,,3.38,,,2014
Kepler-163 b,0.078,7.810937,14.415,5776,,1.05,,,2014
Kepler-163 c,0.152,21.347262,14.415,5776,,2.26,,,2014
KOI-1783.01,,134.4628,13.929,5922,,8.86,71,0.56,2020
KOI-1783.02,,284.215,13.929,5922,,5.44,15,0.51,2020
Kepler-1229 b,,86.828989,15.474,3784,,1.4,,,2016
Kepler-1046 b,,14.37508035,13.286,5913,,1.71,,,2016
Kepler-900 b,,6.9913086,14.94,4836,,2.08,,,2016
Kepler-1677 b,,22.064,13.698,5804.5,,2.702,,,2020
HAT-P-44 c,1.752,872.2,,5295,,,1271.3,,2014
HAT-P-44 b,0.0507,4.301219,,5295,1108,13.922,111.871,0.23,2014
Kepler-1583 b,,9.32807355,12.897,5645,,0.6,,,2016
Kepler-1297 b,,1.68189002,14.812,5818,,0.97,,,2016
Kepler-939 b,,14.878296,15.534,5471,,1.75,,,2016
Kepler-1543 b,,6.96710269,13.487,6561,,2.71,,,2016
Kepler-1692 b,,5.95966,14.52,4935.73,,1.112,,,2020
Kepler-1287 b,,11.47685909,15.051,5715,,1.54,,,2016
Kepler-1443 b,,2.41811321,12.278,6289,,0.97,,,2016
Kepler-1397 b,,47.449955,14.089,6026,,1.72,,,2016
Kepler-1265 b,,6.49441289,15.602,4630,,1.35,,,2016
HD 154345 b,4.21,3341.55884,6.76,5468,,,260.6206,,2006
Kepler-311 b,0.087,9.176092,13.797,5905,,1.7,,,2014
Kepler-311 c,0.145,19.738286,13.797,5905,,1.43,,,2014
Kepler-1000 b,,120.0181272,13.256,6453,,4.76,,,2016
Kepler-1186 b,,16.07677615,15.306,5635,,2.23,,,2016
Kepler-1092 b,,58.6017925,14.649,5862,,2.07,,,2016
Kepler-334 c,0.107,12.758005,12.776,5828,,1.43,,,2014
Kepler-334 b,0.061,5.470319,12.776,5828,,1.12,,,2014
Kepler-334 d,0.168,25.09849,12.776,5828,,1.41,,,2014
Kepler-765 b,,27.6655226,14.609,5901,,2.43,,,2016
Kepler-763 b,,1.19655156,15.692,5166,,1.22,,,2016
Kepler-267 d,0.154,28.464515,15.438,4258,,2.27,,,2014
Kepler-267 c,0.06,6.87745,15.438,4258,,2.13,,,2014
Kepler-267 b,0.037,3.353728,15.438,4258,,1.98,,,2014
Kepler-337 b,0.045,3.292781,12.727,5684,,1.54,,,2014
Kepler-337 c,0.093,9.693201,12.727,5684,,2.05,,,2014
Kepler-764 b,,7.33683936,15.302,5557,,1.64,,,2016
